"Date","Price","Open","High","Low","Vol.","Change %"
"Oct 19","141.88","138.07","143.22","137.84","-","2.17%"
"Sep 19","138.87","144.96","146.82","138.03","235.12M","-3.39%"
"Aug 19","143.75","132.42","145.68","132.31","323.50M","7.91%"
"Jul 19","133.21","131.56","136.63","130.55","226.44M","0.01%"
"Jun 19","133.20","124.09","135.55","123.90","205.60M","8.00%"
"May 19","123.33","121.03","123.40","119.54","140.58M","1.76%"
"Apr 19","121.20","122.40","123.77","119.55","124.26M","-0.66%"
"Mar 19","122.01","123.48","125.11","121.03","168.88M","-1.60%"
"Feb 19","123.99","124.89","127.21","123.19","141.98M","-0.61%"
"Jan 19","124.75","121.35","125.23","120.69","195.18M","2.89%"
"Dec 18","121.25","116.60","121.26","116.30","178.89M","4.94%"
"Nov 18","115.54","116.33","117.07","113.42","186.73M","0.34%"
"Oct 18","115.15","112.40","117.65","111.90","228.48M","2.12%"
"Sep 18","112.76","112.75","114.78","111.85","97.36M","-0.66%"
"Aug 18","113.51","115.63","115.70","111.06","148.36M","-2.14%"
"Jul 18","115.99","118.18","119.73","115.12","130.60M","-2.24%"
"Jun 18","118.65","122.58","123.86","118.01","133.56M","-3.61%"
"May 18","123.10","123.90","125.59","121.97","136.94M","-1.20%"
"Apr 18","124.59","126.65","129.47","124.19","148.67M","-0.95%"
"Mar 18","125.79","124.15","128.58","123.58","143.37M","0.63%"
"Feb 18","125.00","127.18","128.70","124.39","176.37M","-2.08%"
"Jan 18","127.65","124.66","129.51","124.10","184.87M","3.23%"
"Dec 17","123.65","120.94","124.08","117.40","145.86M","2.11%"
"Nov 17","121.10","120.98","123.33","120.18","122.00M","0.36%"
"Oct 17","120.67","121.17","123.97","119.78","137.82M","-0.75%"
"Sep 17","121.58","126.01","128.32","121.55","174.23M","-3.37%"
"Aug 17","125.82","120.44","125.87","118.97","179.58M","4.20%"
"Jul 17","120.75","116.54","120.86","114.80","128.52M","2.31%"
"Jun 17","118.02","120.17","123.31","117.91","160.83M","-2.16%"
"May 17","120.62","120.21","121.23","115.56","160.11M","-0.12%"
"Apr 17","120.77","118.69","123.07","118.40","176.16M","1.73%"
"Mar 17","118.72","117.98","120.08","114.02","172.56M","-0.43%"
"Feb 17","119.23","114.66","120.40","114.14","150.26M","3.18%"
"Jan 17","115.55","109.62","116.17","109.37","150.54M","5.42%"
"Dec 16","109.61","111.11","112.50","107.00","159.86M","-1.91%"
"Nov 16","111.75","122.80","124.76","111.50","247.89M","-8.36%"
"Oct 16","121.94","125.32","125.46","118.42","181.30M","-2.94%"
"Sep 16","125.64","124.67","129.08","124.55","213.66M","0.69%"
"Aug 16","124.78","128.57","130.55","124.64","215.78M","-3.26%"
"Jul 16","128.98","127.66","131.15","125.11","259.55M","1.98%"
"Jun 16","126.47","115.97","127.05","115.20","307.77M","8.97%"
"May 16","116.06","123.78","123.96","115.29","201.10M","-6.14%"
"Apr 16","123.65","116.08","123.93","115.00","222.99M","5.11%"
"Mar 16","117.64","118.74","122.37","116.16","259.67M","-0.84%"
"Feb 16","118.64","107.54","120.84","107.35","314.97M","10.93%"
"Jan 16","106.95","103.13","107.93","102.48","139.71M","5.41%"
"Dec 15","101.46","102.30","104.21","100.23","124.50M","-0.45%"
"Nov 15","101.92","108.64","108.84","100.99","106.87M","-6.75%"
"Oct 15","109.30","106.98","113.99","106.63","131.53M","2.28%"
"Sep 15","106.86","109.63","110.82","105.27","113.79M","-1.80%"
"Aug 15","108.82","104.59","112.12","103.78","151.17M","3.71%"
"Jul 15","104.93","112.12","112.58","103.43","157.50M","-6.62%"
"Jun 15","112.37","115.02","115.61","111.57","110.27M","-1.52%"
"May 15","114.10","112.42","117.88","112.28","99.10M","0.56%"
"Apr 15","113.47","114.56","117.47","112.77","106.64M","-0.17%"
"Mar 15","113.66","116.50","116.64","109.77","133.48M","-2.15%"
"Feb 15","116.16","121.84","123.16","114.29","125.69M","-5.91%"
"Jan 15","123.45","112.49","125.58","112.32","198.03M","8.69%"
"Dec 14","113.58","113.80","118.99","112.41","153.72M","1.31%"
"Nov 14","112.11","112.39","115.96","109.67","147.61M","-0.49%"
"Oct 14","112.66","116.61","120.50","111.66","155.25M","-3.05%"
"Sep 14","116.21","121.97","122.66","115.85","140.57M","-6.18%"
"Aug 14","123.86","124.54","126.81","122.45","118.21M","0.38%"
"Jul 14","123.39","127.99","129.21","123.23","140.70M","-3.63%"
"Jun 14","128.04","119.93","128.04","119.42","140.01M","6.32%"
"May 14","120.43","123.17","126.63","119.62","113.33M","-3.05%"
"Apr 14","124.22","123.71","128.25","122.84","127.90M","0.49%"
"Mar 14","123.61","130.00","133.69","123.57","182.64M","-3.14%"
"Feb 14","127.62","120.47","129.53","120.32","156.71M","6.27%"
"Jan 14","120.09","117.93","122.51","117.11","153.06M","3.42%"
"Dec 13","116.12","119.20","122.32","114.46","185.44M","-3.79%"
"Nov 13","120.70","126.86","127.52","119.13","130.65M","-5.51%"
"Oct 13","127.74","125.25","131.44","121.85","203.53M","-0.34%"
"Sep 13","128.18","135.46","136.79","125.15","204.13M","-4.78%"
"Aug 13","134.62","127.84","137.55","123.55","194.65M","5.20%"
"Jul 13","127.96","119.94","130.14","116.74","191.39M","7.43%"
"Jun 13","119.11","134.77","137.62","114.68","254.19M","-11.06%"
"May 13","133.92","140.59","142.81","130.85","278.85M","-6.20%"
"Apr 13","142.77","154.57","154.93","130.51","454.53M","-7.57%"
"Mar 13","154.47","153.16","156.43","151.40","160.65M","0.96%"
"Feb 13","153.00","162.66","162.96","150.84","241.78M","-5.09%"
"Jan 13","161.20","163.49","164.40","158.89","222.52M","-0.51%"
"Dec 12","162.02","166.11","166.94","158.39","200.07M","-2.43%"
"Nov 12","166.05","167.02","170.01","162.30","173.63M","-0.47%"
"Oct 12","166.83","172.83","174.07","164.60","165.29M","-2.94%"
"Sep 12","171.89","164.11","173.19","163.66","229.78M","4.67%"
"Aug 12","164.22","155.18","164.22","153.61","190.79M","4.94%"
"Jul 12","156.49","154.67","157.96","150.85","155.26M","0.84%"
"Jun 12","155.19","155.41","159.20","150.15","238.03M","2.35%"
"May 12","151.62","162.09","162.18","148.53","256.38M","-6.34%"
"Apr 12","161.88","161.96","163.56","156.58","198.44M","-0.15%"
"Mar 12","162.12","166.10","167.72","158.13","272.66M","-1.32%"
"Feb 12","164.29","169.75","174.00","164.00","259.89M","-2.96%"
"Jan 12","169.31","154.76","169.86","154.55","223.48M","11.40%"
"Dec 11","151.99","169.85","170.80","148.27","292.68M","-10.66%"
"Nov 11","170.13","164.03","175.46","162.07","285.20M","1.67%"
"Oct 11","167.34","161.09","170.29","155.27","271.41M","5.87%"
"Sep 11","158.06","177.44","185.85","154.19","496.08M","-11.06%"
"Aug 11","177.72","157.47","184.82","156.78","768.58M","12.27%"
"Jul 11","158.29","144.76","159.25","143.97","328.22M","8.42%"
"Jun 11","146.00","149.66","151.86","145.20","291.41M","-2.43%"
"May 11","149.64","151.46","153.61","142.55","382.84M","-1.79%"
"Apr 11","152.37","138.65","153.03","137.72","303.63M","8.94%"
"Mar 11","139.86","138.57","141.28","135.23","306.52M","1.60%"
"Feb 11","137.66","130.52","138.20","129.28","238.89M","6.00%"
"Jan 11","129.87","138.67","139.00","127.80","353.08M","-6.38%"
"Dec 10","138.72","135.71","139.54","132.86","305.58M","2.44%"
"Nov 10","135.42","132.85","139.15","129.48","407.59M","2.11%"
"Oct 10","132.62","128.72","134.85","127.91","365.10M","3.68%"
"Sep 10","127.91","122.15","128.28","121.15","269.57M","4.78%"
"Aug 10","122.08","116.12","122.95","115.20","214.87M","5.71%"
"Jul 10","115.49","120.91","121.03","113.08","275.57M","-5.09%"
"Jun 10","121.68","119.88","123.56","117.05","326.08M","2.36%"
"May 10","118.88","115.91","122.23","113.31","505.03M","3.05%"
"Apr 10","115.36","109.97","115.70","109.92","274.47M","5.88%"
"Mar 10","108.95","109.48","112.18","106.24","326.17M","-0.44%"
"Feb 10","109.43","106.64","110.39","102.28","368.15M","3.27%"
"Jan 10","105.96","109.82","113.59","105.18","347.27M","-1.26%"
"Dec 09","107.31","117.30","119.54","105.31","569.77M","-7.20%"
"Nov 09","115.64","103.50","116.88","103.25","403.52M","12.79%"
