"Date","Price","Open","High","Low","Vol.","Change %"
"Oct 19","3,022.55","2,986.10","3,027.59","2,856.04","-","1.54%"
"Sep 19","2,976.74","2,909.01","3,021.99","2,891.85","-","1.72%"
"Aug 19","2,926.46","2,980.32","3,013.59","2,822.12","-","-1.81%"
"Jul 19","2,980.38","2,971.41","3,027.98","2,952.22","-","1.31%"
"Jun 19","2,941.76","2,751.53","2,964.15","2,728.81","-","6.89%"
"May 19","2,752.06","2,952.33","2,954.13","2,750.52","-","-6.58%"
"Apr 19","2,945.83","2,848.63","2,949.52","2,848.63","-","3.93%"
"Mar 19","2,834.40","2,798.22","2,860.31","2,722.27","-","1.79%"
"Feb 19","2,784.49","2,702.32","2,813.49","2,681.83","-","2.97%"
"Jan 19","2,704.10","2,476.96","2,708.95","2,443.96","-","7.87%"
"Dec 18","2,506.85","2,790.50","2,800.18","2,346.58","-","-9.18%"
"Nov 18","2,760.17","2,717.58","2,815.15","2,631.09","-","1.79%"
"Oct 18","2,711.74","2,926.29","2,939.86","2,603.54","-","-6.94%"
"Sep 18","2,913.98","2,896.96","2,940.91","2,864.12","-","0.43%"
"Aug 18","2,901.52","2,821.17","2,916.50","2,796.34","-","3.03%"
"Jul 18","2,816.29","2,704.95","2,848.03","2,698.95","-","3.60%"
"Jun 18","2,718.37","2,718.70","2,791.47","2,691.99","-","0.48%"
"May 18","2,705.27","2,643.64","2,742.24","2,594.62","-","2.16%"
"Apr 18","2,648.05","2,633.45","2,717.49","2,553.80","-","0.27%"
"Mar 18","2,640.87","2,715.22","2,801.90","2,585.89","-","-2.69%"
"Feb 18","2,713.83","2,816.45","2,835.96","2,532.69","-","-3.89%"
"Jan 18","2,823.81","2,683.73","2,872.87","2,682.36","-","5.62%"
"Dec 17","2,673.61","2,645.10","2,694.97","2,605.52","-","0.98%"
"Nov 17","2,647.58","2,583.21","2,657.74","2,557.45","-","2.81%"
"Oct 17","2,575.26","2,521.20","2,582.98","2,520.40","-","2.22%"
"Sep 17","2,519.36","2,474.42","2,519.44","2,446.55","-","1.93%"
"Aug 17","2,471.65","2,477.10","2,490.87","2,417.35","-","0.05%"
"Jul 17","2,470.30","2,431.39","2,484.04","2,407.70","-","1.93%"
"Jun 17","2,423.41","2,415.65","2,453.82","2,405.70","-","0.48%"
"May 17","2,411.80","2,388.50","2,418.71","2,352.72","-","1.16%"
"Apr 17","2,384.20","2,362.34","2,398.16","2,328.95","-","0.91%"
"Mar 17","2,362.72","2,380.13","2,400.98","2,322.25","-","-0.04%"
"Feb 17","2,363.64","2,285.59","2,371.54","2,271.65","-","3.72%"
"Jan 17","2,278.87","2,251.57","2,300.99","2,245.13","-","1.79%"
"Dec 16","2,238.83","2,200.17","2,277.53","2,187.44","-","1.82%"
"Nov 16","2,198.81","2,128.68","2,214.10","2,083.79","-","3.42%"
"Oct 16","2,126.15","2,164.33","2,169.60","2,114.72","-","-1.94%"
"Sep 16","2,168.27","2,171.33","2,187.87","2,119.12","-","-0.12%"
