"Date","Price","Open","High","Low","Vol.","Change %"
"Oct 06, 2019","140.03","141.16","142.58","138.91","44.46M","-1.32%"
"Sep 29, 2019","141.90","139.77","143.25","137.80","62.07M","0.60%"
"Sep 22, 2019","141.06","143.22","144.77","140.16","50.12M","-1.32%"
"Sep 15, 2019","142.95","141.60","143.03","139.81","50.55M","2.00%"
"Sep 08, 2019","140.15","142.37","143.10","140.06","57.53M","-1.25%"
"Sep 01, 2019","141.92","144.96","146.82","141.86","61.39M","-1.27%"
"Aug 25, 2019","143.75","144.35","145.68","143.02","60.92M","-0.29%"
"Aug 18, 2019","144.17","141.33","144.33","140.85","53.29M","0.97%"
"Aug 11, 2019","142.78","141.67","144.02","139.35","91.55M","1.08%"
"Aug 04, 2019","141.26","137.93","142.47","137.05","76.26M","3.95%"
"Jul 28, 2019","135.89","134.06","136.60","132.31","78.89M","1.68%"
"Jul 21, 2019","133.64","134.56","134.95","133.09","42.23M","-0.62%"
"Jul 14, 2019","134.47","133.18","136.63","132.13","59.83M","0.70%"
"Jul 07, 2019","133.53","132.18","133.87","131.16","42.43M","1.05%"
"Jun 30, 2019","132.14","131.56","134.10","130.55","44.54M","-0.80%"
"Jun 23, 2019","133.20","132.77","135.55","132.26","71.13M","0.92%"
"Jun 16, 2019","131.98","126.70","132.17","126.17","60.44M","4.28%"
"Jun 09, 2019","126.56","125.46","127.63","124.88","30.53M","-0.02%"
"Jun 02, 2019","126.59","124.09","127.25","123.90","43.51M","2.64%"
"May 26, 2019","123.33","120.80","123.40","120.46","31.56M","1.67%"
"May 19, 2019","121.30","120.51","121.52","119.83","20.31M","0.54%"
"May 12, 2019","120.65","122.63","122.85","120.33","39.92M","-0.64%"
"May 05, 2019","121.43","120.61","121.73","120.54","21.27M","0.65%"
"Apr 28, 2019","120.65","120.88","121.55","119.54","36.73M","-0.59%"
"Apr 21, 2019","121.37","120.46","121.67","119.55","22.86M","0.83%"
"Apr 14, 2019","120.37","121.20","121.82","120.15","23.13M","-1.20%"
"Apr 07, 2019","121.83","122.97","123.77","121.79","32.23M","-0.12%"
"Mar 31, 2019","121.98","122.40","122.43","120.96","36.81M","-0.02%"
"Mar 24, 2019","122.01","124.56","125.11","121.70","37.91M","-1.58%"
"Mar 17, 2019","123.97","123.30","124.42","122.65","39.26M","0.81%"
"Mar 10, 2019","122.97","122.52","123.88","121.92","36.57M","0.11%"
"Mar 03, 2019","122.84","121.56","122.89","121.03","38.73M","0.79%"
"Feb 24, 2019","121.88","125.78","125.90","121.87","42.20M","-2.88%"
