"Date","Price","Open","High","Low","Change %"
"Oct 06, 2019","7.0880","7.1314","7.1527","7.0872","-0.84%"
"Sep 29, 2019","7.1483","7.1303","7.1483","7.1174","0.36%"
"Sep 22, 2019","7.1227","7.0900","7.1388","7.0900","0.44%"
"Sep 15, 2019","7.0916","7.0781","7.1052","7.0619","0.17%"
"Sep 08, 2019","7.0794","7.1177","7.1387","7.0675","-0.51%"
"Sep 01, 2019","7.1157","7.1569","7.1870","7.1126","-0.57%"
"Aug 25, 2019","7.1568","7.1375","7.1729","7.1364","0.86%"
"Aug 18, 2019","7.0960","7.0411","7.1018","7.0404","0.76%"
"Aug 11, 2019","7.0428","7.0615","7.0704","7.0099","-0.28%"
"Aug 04, 2019","7.0624","7.0137","7.0644","7.0111","1.76%"
"Jul 28, 2019","6.9405","6.8803","6.9504","6.8760","0.89%"
"Jul 21, 2019","6.8792","6.8819","6.8848","6.8659","-0.04%"
"Jul 14, 2019","6.8822","6.8806","6.8839","6.8700","0.02%"
"Jul 07, 2019","6.8808","6.8937","6.8962","6.8579","-0.19%"
"Jun 30, 2019","6.8936","6.8654","6.8939","6.8322","0.39%"
"Jun 23, 2019","6.8668","6.8704","6.8936","6.8595","-0.05%"
"Jun 16, 2019","6.8700","6.9261","6.9314","6.8336","-0.80%"
"Jun 09, 2019","6.9255","6.9240","6.9362","6.9076","0.23%"
"Jun 02, 2019","6.9097","6.9075","6.9209","6.9007","0.07%"
"May 26, 2019","6.9050","6.9006","6.9198","6.8821","0.07%"
"May 19, 2019","6.9002","6.9001","6.9199","6.8957","-0.27%"
"May 12, 2019","6.9187","6.8225","6.9187","6.8225","1.39%"
"May 05, 2019","6.8240","6.7359","6.8312","6.7359","1.33%"
"Apr 28, 2019","6.7346","6.7297","6.7425","6.7270","0.07%"
"Apr 21, 2019","6.7298","6.7043","6.7499","6.7030","0.38%"
"Apr 14, 2019","6.7042","6.7039","6.7134","6.6838","-0.00%"
"Apr 07, 2019","6.7044","6.7143","6.7235","6.6989","-0.22%"
"Mar 31, 2019","6.7190","6.7120","6.7251","6.6998","0.10%"
"Mar 24, 2019","6.7120","6.7204","6.7406","6.7023","-0.09%"
"Mar 17, 2019","6.7181","6.7149","6.7218","6.6704","0.06%"
"Mar 10, 2019","6.7138","6.7203","6.7302","6.7019","-0.12%"
"Mar 03, 2019","6.7216","6.7073","6.7278","6.6855","0.23%"
"Feb 24, 2019","6.7064","6.7133","6.7133","6.6734","-0.12%"
"Feb 17, 2019","6.7142","6.7743","6.7829","6.6915","-0.87%"
"Feb 10, 2019","6.7730","6.7469","6.7992","6.7469","0.42%"
"Feb 03, 2019","6.7448","6.7448","6.7448","6.7448","0.00%"
"Jan 27, 2019","6.7448","6.7421","6.7551","6.6927","-0.04%"
"Jan 20, 2019","6.7473","6.7941","6.8129","6.7472","-0.47%"
"Jan 13, 2019","6.7790","6.7446","6.7831","6.7362","0.24%"
"Jan 06, 2019","6.7630","6.8532","6.8644","6.7394","-1.55%"
"Dec 30, 2018","6.8692","6.8637","6.8856","6.8512","-0.14%"
"Dec 23, 2018","6.8785","6.9095","6.9148","6.8500","-0.41%"
"Dec 16, 2018","6.9065","6.9016","6.9150","6.8818","-0.02%"
"Dec 09, 2018","6.9077","6.8905","6.9180","6.8650","0.47%"
"Dec 02, 2018","6.8757","6.9266","6.9359","6.8332","-1.22%"
"Nov 25, 2018","6.9605","6.9503","6.9616","6.9378","0.17%"
